city, state_id, state_name, county, longitude, latitude, zips, fips id
Silver Firs,WA,Washington,Snohomish,47.8635,-122.1497,98296 98012 98208,1840037898
Plaza,WA,Washington,Spokane,47.3202,-117.3838,99170,1840037701
Machias,WA,Washington,Snohomish,47.9917,-122.0515,98258 98290,1840017325
Neah Bay,WA,Washington,Clallam,48.3612,-124.6115,98357,1840023937
Malo,WA,Washington,Ferry,48.7996,-118.612,99150,1840026093
Clyde Hill,WA,Washington,King,47.6303,-122.218,98004,1840018413
Keyport,WA,Washington,Kitsap,47.6993,-122.6232,98345,1840023797
North Yelm,WA,Washington,Thurston,46.9647,-122.6029,98597,1840037880
Grand Coulee,WA,Washington,Grant,47.9388,-119.003,99133,1840019815
Outlook,WA,Washington,Yakima,46.3312,-120.0913,98938,1840023855
Clinton,WA,Washington,Island,47.9731,-122.3577,98236,1840037632
Evans,WA,Washington,Stevens,48.7135,-118.0253,99126,1840037765
Browns Point,WA,Washington,Pierce,47.3036,-122.4369,98422,1840037624
Kennewick,WA,Washington,Benton,46.1979,-119.1732,99337 99336 99338,1840018481
North Marysville,WA,Washington,Snohomish,48.111,-122.1459,98223 98271,1840037878
Beaver Valley,WA,Washington,Jefferson,47.9259,-122.7302,98365,1840037528
Ahtanum,WA,Washington,Yakima,46.5581,-120.6058,98903 98908 98909,1840017368
Carbonado,WA,Washington,Pierce,47.0805,-122.0537,98396 98323,1840022307
Hyak,WA,Washington,Kittitas,47.3929,-121.3929,98068,1840037777
Arlington Heights,WA,Washington,Snohomish,48.2119,-122.0631,98223,1840037743
North Sultan,WA,Washington,Snohomish,47.8828,-121.8251,98294,1840037859
Pullman,WA,Washington,Whitman,46.7327,-117.1634,99164 99163,1840019864
Longview,WA,Washington,Cowlitz,46.1471,-122.9642,98632,1840019904
Adelaide,WA,Washington,King,47.3309,-122.3604,98023,1840037521
Peaceful Valley,WA,Washington,Whatcom,48.9477,-122.1406,98295 98244 98266,1840037896
West Richland,WA,Washington,Benton,46.3115,-119.3996,99320 99353,1840021168
Fife Heights,WA,Washington,Pierce,47.2586,-122.3454,98422 98424,1840037653
Manson,WA,Washington,Chelan,47.8858,-120.1563,98831,1840025246
Sprague,WA,Washington,Lincoln,47.3003,-117.9757,99032,1840021107
Cosmopolis,WA,Washington,Grays Harbor,46.9541,-123.7727,98520 98563 98537,1840018448
Redondo,WA,Washington,King,47.3484,-122.3235,98198,1840037705
Waller,WA,Washington,Pierce,47.2035,-122.37,98404 98371 98443,1840037889
Addy,WA,Washington,Stevens,48.3588,-117.8372,99101,1840025238
Matlock,WA,Washington,Mason,47.2379,-123.4079,98541,1840037793
Longbranch,WA,Washington,Pierce,47.2257,-122.7739,98349 98351,1840023835
North Bonneville,WA,Washington,Skamania,45.6426,-121.9695,98648 98639,1840019903
Pomeroy,WA,Washington,Garfield,46.4739,-117.5971,99347,1840019891
Colville,WA,Washington,Stevens,48.545,-117.8975,99114,1840018361
Palmer,WA,Washington,King,47.3143,-121.8923,98051,1840037802
Skyway,WA,Washington,King,47.4915,-122.2543,98178,1840037620
